Sample;Wav bps;HC bps;AAC bps;MP3 bps;Opus bps
01_sopranoA;707478;17110;8106;8000;7787
02_sopranoB;707722;12901;8843;8000;8284
03_mezzosoprano;706325;13096;7474;8000;7645
04_baritone;707279;8883;9571;8000;8249
05_countertenorA;706869;6898;9363;8000;8556
06_countertenorB;706898;12738;9079;8000;10378
07_bass;707081;8802;8299;8000;8345
08_male;708565;5508;11483;8000;7373
09_cello;706948;4046;7924;8000;6353
10_saxophone;705853;11619;6572;8000;5738
11_bassoon;707383;5038;10592;8000;7089
12_doublebass;708884;8533;10849;8000;9204
13_frenchhorn;706009;6413;6933;8000;6510
14_piano;706303;12764;7596;8000;6907
15_trumpet;705636;5343;6233;8000;6138
16_crash;706876;15188;9621;8000;5725
